Total Line is 161
空行数据： 12
反应时小于 250ms 的数据：12
错误回答数据：7
使用的数据： 148
使用的数据中，两个标准差过滤后剔除的数据个数为： 4
ACC： 0.95625
检测到本实验为 ORDER CHECK_BY
For LEFT_LATE: 898.56 ms, SD is 76.18644155984067 ms
For LEFT_EARLY: 821.2222222222222 ms, SD is 49.78253361968203 ms
For RIGHT_LATE: 882.8448275862069 ms, SD is 60.36985471857359 ms
For RIGHT_EARLY: 873.1111111111111 ms, SD is 87.96716559161277 ms



ID, SHOW_TIME, ACTION_TIME, SHOW_TIME_MS, DURATION_TIME_MS,STAND_SIZE, ACTION_SIZE, SIZE_IS_BIG, ACTION_ORDER, STI_IS_LEFT,CHECK_BY, ANSWER, ORDER_IS_LATE, STAND_ANSWER, CORRECT
30, 1699108744873, 1700126589401, 0, 1017, 20, 80, 1, 4, 1, ORDER, 1, 1, 1, 1
30, 1701907744873, 1702761914124, 0, 854, 20, 28, 1, 1, 0, ORDER, 0, 0, 0, 1
30, 1704580744873, 1705521009956, 0, 940, 20, 56, 1, 3, 1, ORDER, 1, 1, 1, 1
30, 1707321744873, 0, 0, 0, 20, -1, 0, -1, 1, NONE, 0, 0, 1, 0
30, 1711209744873, 1712167313959, 0, 957, 20, 80, 1, 4, 0, ORDER, 1, 1, 1, 1
30, 1714127744873, 0, 0, 0, 20, -1, 0, -1, 1, NONE, 0, 0, 1, 0
30, 1717892744873, 1718812958510, 0, 920, 20, 56, 1, 3, 0, ORDER, 1, 1, 1, 1
30, 1720685744873, 1721578649129, 0, 892, 20, 20, 0, 0, 0, ORDER, 0, 0, 0, 1
30, 1723348744873, 1724212912225, 0, 864, 20, 28, 1, 1, 0, ORDER, 0, 0, 0, 1
30, 1725990744873, 1726974137200, 0, 983, 20, 80, 1, 4, 0, ORDER, 1, 1, 1, 1
30, 1728901744873, 1729732384140, 0, 830, 20, 56, 1, 3, 1, ORDER, 1, 1, 1, 1
30, 1731683744873, 1732494006682, 0, 810, 20, 20, 0, 0, 0, ORDER, 0, 0, 0, 1
30, 1734358744873, 1735252189366, 0, 893, 20, 80, 1, 4, 1, ORDER, 1, 1, 1, 1
30, 1737089744873, 1738009994708, 0, 920, 20, 56, 1, 3, 0, ORDER, 1, 1, 1, 1
30, 1739944744873, 1740769815017, 0, 825, 20, 28, 1, 1, 0, ORDER, 0, 0, 0, 1
30, 1742569744873, 1743404591135, 0, 834, 20, 20, 0, 0, 1, ORDER, 0, 0, 0, 1
30, 1745375744873, 1746166119981, 0, 790, 20, 28, 1, 1, 1, ORDER, 0, 0, 0, 1
30, 1748126744873, 1749053348119, 0, 926, 20, 20, 0, 0, 0, ORDER, 0, 0, 0, 1
30, 1750986744873, 1751813411884, 0, 826, 20, 80, 1, 4, 1, ORDER, 1, 1, 1, 1
30, 1753672744873, 1754573492544, 0, 900, 20, 56, 1, 3, 0, ORDER, 1, 1, 1, 1
30, 1756524744873, 1757333284949, 0, 808, 20, 28, 1, 1, 1, ORDER, 0, 0, 0, 1
30, 1759122744873, 1760093872999, 0, 971, 20, 56, 1, 3, 0, ORDER, 1, 1, 1, 1
30, 1761946744873, 1762729902231, 0, 783, 20, 20, 0, 0, 0, ORDER, 0, 0, 0, 1
30, 1764642744873, 1765363645137, 0, 720, 20, 80, 1, 4, 1, ORDER, 1, 1, 1, 1
