Total Line is 161
空行数据： 21
反应时小于 250ms 的数据：21
错误回答数据：13
使用的数据： 138
使用的数据中，两个标准差过滤后剔除的数据个数为： 8
ACC： 0.91875
检测到本实验为 ORDER CHECK_BY
For LEFT_LATE: 1038.8541666666667 ms, SD is 128.11331247506376 ms
For LEFT_EARLY: 1120.9444444444443 ms, SD is 121.68400359959458 ms
For RIGHT_LATE: 1045.2156862745098 ms, SD is 134.3385743151222 ms
For RIGHT_EARLY: 1096.7692307692307 ms, SD is 72.77379776420659 ms



ID, SHOW_TIME, ACTION_TIME, SHOW_TIME_MS, DURATION_TIME_MS,STAND_SIZE, ACTION_SIZE, SIZE_IS_BIG, ACTION_ORDER, STI_IS_LEFT,CHECK_BY, ANSWER, ORDER_IS_LATE, STAND_ANSWER, CORRECT
33, 5979457522235, 5980393021521, 0, 935, 20, 56, 1, 3, 1, ORDER, 1, 1, 1, 1
33, 5982168522235, 5983274315606, 0, 1105, 20, 20, 0, 0, 1, ORDER, 0, 0, 0, 1
33, 5985271522235, 5986283371822, 0, 1011, 20, 28, 1, 1, 0, ORDER, 0, 0, 0, 1
33, 5988258522235, 0, 0, 0, 20, -1, 0, -1, 1, NONE, 1, 0, 1, 1
33, 5992238522235, 5993306120395, 0, 1067, 20, 28, 1, 1, 0, ORDER, 0, 0, 0, 1
33, 5995205522235, 5996190955456, 0, 985, 20, 20, 0, 0, 1, ORDER, 0, 0, 0, 1
33, 5998113522235, 5999076591538, 0, 963, 20, 56, 1, 3, 0, ORDER, 1, 1, 1, 1
33, 6001007522235, 6001960385452, 0, 952, 20, 80, 1, 4, 1, ORDER, 1, 1, 1, 1
33, 6003885522235, 6004845415840, 0, 959, 20, 28, 1, 1, 1, ORDER, 0, 0, 0, 1
33, 6006700522235, 6007606290097, 0, 905, 20, 56, 1, 3, 0, ORDER, 1, 1, 1, 1
33, 6009608522235, 6010615907207, 0, 1007, 20, 20, 0, 0, 0, ORDER, 0, 0, 0, 1
33, 6012556522235, 6013498760325, 0, 942, 20, 80, 1, 4, 1, ORDER, 1, 1, 1, 1
33, 6015380522235, 0, 0, 0, 20, -1, 0, -1, 0, NONE, 0, 0, 1, 0
33, 6019387522235, 6020520242727, 0, 1132, 20, 28, 1, 1, 1, ORDER, 0, 0, 0, 1
33, 6022486522235, 6023528142597, 0, 1041, 20, 56, 1, 3, 0, ORDER, 1, 1, 1, 1
33, 6025340522235, 6026417575398, 0, 1077, 20, 80, 1, 4, 0, ORDER, 1, 1, 1, 1
33, 6028271522235, 0, 0, 0, 20, -1, 0, -1, 1, NONE, 0, 0, 1, 0
33, 6032036522235, 6033189417671, 0, 1152, 20, 56, 1, 3, 1, ORDER, 1, 1, 1, 1
33, 6034981522235, 6036450575703, 0, 1469, 20, 28, 1, 1, 1, ORDER, 0, 0, 0, 1
33, 6038235522235, 6039082934167, 0, 847, 20, 80, 1, 4, 0, ORDER, 1, 1, 1, 1
33, 6040842522235, 6041716441298, 0, 873, 20, 56, 1, 3, 1, ORDER, 1, 1, 1, 1
33, 6043486522235, 6044350140940, 0, 863, 20, 80, 1, 4, 1, ORDER, 1, 1, 1, 1
33, 6046336522235, 6047235819005, 0, 899, 20, 20, 0, 0, 1, ORDER, 0, 0, 0, 1
33, 6049196522235, 6050121565678, 0, 925, 20, 28, 1, 1, 1, ORDER, 0, 0, 0, 1
33, 6052114522235, 6053008242908, 0, 893, 20, 80, 1, 4, 0, ORDER, 1, 1, 1, 1
33, 6054992522235, 0, 0, 0, 20, -1, 0, -1, 0, NONE, 0, 0, 1, 0
33, 6058801522235, 0, 0, 0, 20, -1, 0, -1, 1, NONE, 1, 0, 1, 1
33, 6062576522235, 6063793689217, 0, 1217, 20, 20, 0, 0, 0, ORDER, 0, 0, 0, 1
33, 6065619522235, 6066550108837, 0, 930, 20, 56, 1, 3, 0, ORDER, 1, 1, 1, 1
33, 6068518522235, 6069560507000, 0, 1041, 20, 80, 1, 4, 1, ORDER, 0, 1, 1, 0
33, 6071478522235, 6072697516068, 0, 1218, 20, 28, 1, 1, 1, ORDER, 0, 0, 0, 1
33, 6074505522235, 6075582071578, 0, 1076, 20, 20, 0, 0, 0, ORDER, 0, 0, 0, 1
33, 6077433522235, 6078465160215, 0, 1031, 20, 80, 1, 4, 1, ORDER, 1, 1, 1, 1
33, 6080470522235, 6081849843597, 0, 1379, 20, 56, 1, 3, 1, ORDER, 1, 1, 1, 1
33, 6083807522235, 6085111387675, 0, 1303, 20, 28, 1, 1, 1, ORDER, 0, 0, 0, 1
33, 6086980522235, 0, 0, 0, 20, -1, 0, -1, 0, NONE, 0, 0, 1, 0
33, 6090961522235, 6092132344768, 0, 1170, 20, 28, 1, 1, 0, ORDER, 0, 0, 0, 1
33, 6094094522235, 6095143287696, 0, 1048, 20, 80, 1, 4, 0, ORDER, 1, 1, 1, 1
33, 6097070522235, 6098279424063, 0, 1208, 20, 56, 1, 3, 0, ORDER, 1, 1, 1, 1
33, 6100093522235, 6101415434480, 0, 1321, 20, 20, 0, 0, 0, ORDER, 0, 0, 0, 1
33, 6103243522235, 6104549260969, 0, 1305, 20, 28, 1, 1, 0, ORDER, 0, 0, 0, 1
33, 6106377522235, 6107433393313, 0, 1055, 20, 56, 1, 3, 1, ORDER, 1, 1, 1, 1
33, 6109208522235, 6110318705556, 0, 1110, 20, 80, 1, 4, 0, ORDER, 1, 1, 1, 1
33, 6112201522235, 6113581153054, 0, 1379, 20, 20, 0, 0, 1, ORDER, 0, 0, 0, 1
33, 6115430522235, 6116339732025, 0, 909, 20, 28, 1, 1, 1, ORDER, 0, 0, 0, 1
33, 6118226522235, 6119473188596, 0, 1246, 20, 20, 0, 0, 1, ORDER, 0, 0, 0, 1
33, 6121460522235, 6122855487604, 0, 1394, 20, 56, 1, 3, 0, ORDER, 1, 1, 1, 1
