Total Line is 161
空行数据： 2
反应时小于 250ms 的数据：2
错误回答数据：0
使用的数据： 158
使用的数据中，两个标准差过滤后剔除的数据个数为： 11
ACC： 1.0
检测到本实验为 ORDER CHECK_BY
For LEFT_LATE: 911.6727272727272 ms, SD is 105.72361846665814 ms
For LEFT_EARLY: 879.4 ms, SD is 80.120567042164 ms
For RIGHT_LATE: 942.6851851851852 ms, SD is 81.00356947040169 ms
For RIGHT_EARLY: 942.7222222222222 ms, SD is 72.90590676913679 ms



ID, SHOW_TIME, ACTION_TIME, SHOW_TIME_MS, DURATION_TIME_MS,STAND_SIZE, ACTION_SIZE, SIZE_IS_BIG, ACTION_ORDER, STI_IS_LEFT,CHECK_BY, ANSWER, ORDER_IS_LATE, STAND_ANSWER, CORRECT
35, 10336991114283, 10337875331614, 0, 884, 20, 20, 0, 0, 0, ORDER, 0, 0, 0, 1
35, 10339811114283, 10340637062443, 0, 825, 20, 56, 1, 3, 1, ORDER, 1, 1, 1, 1
35, 10342543114283, 10343400348209, 0, 857, 20, 80, 1, 4, 0, ORDER, 1, 1, 1, 1
35, 10345366114283, 10346411095298, 0, 1044, 20, 28, 1, 1, 1, ORDER, 0, 0, 0, 1
35, 10348368114283, 10349293448706, 0, 925, 20, 20, 0, 0, 1, ORDER, 0, 0, 0, 1
35, 10351124114283, 10352051160865, 0, 927, 20, 56, 1, 3, 0, ORDER, 1, 1, 1, 1
35, 10354051114283, 10354935054618, 0, 883, 20, 28, 1, 1, 1, ORDER, 0, 0, 0, 1
35, 10356835114283, 10357819382546, 0, 984, 20, 80, 1, 4, 1, ORDER, 1, 1, 1, 1
35, 10359661114283, 10360454261063, 0, 793, 20, 28, 1, 1, 1, ORDER, 0, 0, 0, 1
35, 10362231114283, 10363211049577, 0, 979, 20, 56, 1, 3, 0, ORDER, 1, 1, 1, 1
35, 10365203114283, 10366096093789, 0, 892, 20, 80, 1, 4, 0, ORDER, 1, 1, 1, 1
35, 10368006114283, 10368854021755, 0, 847, 20, 20, 0, 0, 1, ORDER, 0, 0, 0, 1
35, 10370716114283, 10371488324786, 0, 772, 20, 28, 1, 1, 1, ORDER, 0, 0, 0, 1
35, 10373408114283, 10374120663538, 0, 712, 20, 56, 1, 3, 1, ORDER, 1, 1, 1, 1
35, 10375889114283, 10377127466453, 0, 1238, 20, 80, 1, 4, 0, ORDER, 1, 1, 1, 1
35, 10378906114283, 10379886200303, 0, 980, 20, 20, 0, 0, 0, ORDER, 0, 0, 0, 1
35, 10381772114283, 10382896099012, 0, 1123, 20, 28, 1, 1, 0, ORDER, 0, 0, 0, 1
35, 10384679114283, 10385654125025, 0, 975, 20, 80, 1, 4, 1, ORDER, 1, 1, 1, 1
35, 10387479114283, 10388415028977, 0, 935, 20, 20, 0, 0, 0, ORDER, 0, 0, 0, 1
35, 10390279114283, 10391299623144, 0, 1020, 20, 56, 1, 3, 0, ORDER, 1, 1, 1, 1
35, 10393179114283, 10394059921147, 0, 880, 20, 20, 0, 0, 1, ORDER, 0, 0, 0, 1
35, 10395877114283, 10396696526888, 0, 819, 20, 56, 1, 3, 1, ORDER, 1, 1, 1, 1
35, 10398573114283, 10399578481194, 0, 1005, 20, 80, 1, 4, 0, ORDER, 1, 1, 1, 1
35, 10401566114283, 10402591244530, 0, 1025, 20, 28, 1, 1, 0, ORDER, 0, 0, 0, 1
35, 10404396114283, 10405227175203, 0, 831, 20, 56, 1, 3, 1, ORDER, 1, 1, 1, 1
35, 10407025114283, 10408241179110, 0, 1216, 20, 80, 1, 4, 1, ORDER, 1, 1, 1, 1
35, 10410138114283, 10411002055671, 0, 863, 20, 28, 1, 1, 0, ORDER, 0, 0, 0, 1
35, 10412874114283, 10413762649096, 0, 888, 20, 20, 0, 0, 1, ORDER, 0, 0, 0, 1
35, 10415575114283, 10416522834716, 0, 947, 20, 28, 1, 1, 1, ORDER, 0, 0, 0, 1
35, 10418435114283, 0, 0, 0, 20, -1, 0, -1, 1, NONE, 1, 0, 1, 1
35, 10422225114283, 10423170263579, 0, 945, 20, 80, 1, 4, 0, ORDER, 1, 1, 1, 1
35, 10424979114283, 10425806784584, 0, 827, 20, 20, 0, 0, 1, ORDER, 0, 0, 0, 1
35, 10427598114283, 10428566425950, 0, 968, 20, 56, 1, 3, 1, ORDER, 1, 1, 1, 1
