Total Line is 161
空行数据： 9
反应时小于 250ms 的数据：9
错误回答数据：3
使用的数据： 151
使用的数据中，两个标准差过滤后剔除的数据个数为： 6
ACC： 0.98125
检测到本实验为 ORDER CHECK_BY
For LEFT_LATE: 870.8771929824561 ms, SD is 72.96723094636351 ms
For LEFT_EARLY: 873.3571428571429 ms, SD is 116.48810249110431 ms
For RIGHT_LATE: 829.24 ms, SD is 68.14347409124728 ms
For RIGHT_EARLY: 842.7916666666666 ms, SD is 106.26626900167444 ms



ID, SHOW_TIME, ACTION_TIME, SHOW_TIME_MS, DURATION_TIME_MS,STAND_SIZE, ACTION_SIZE, SIZE_IS_BIG, ACTION_ORDER, STI_IS_LEFT,CHECK_BY, ANSWER, ORDER_IS_LATE, STAND_ANSWER, CORRECT
39, 16487556351531, 16488591195182, 0, 1034, 20, 20, 0, 0, 0, ORDER, 0, 0, 0, 1
39, 16490411351531, 16491350540723, 0, 939, 20, 28, 1, 1, 1, ORDER, 0, 0, 0, 1
39, 16493109351531, 16493984217079, 0, 874, 20, 80, 1, 4, 1, ORDER, 1, 1, 1, 1
39, 16495743351531, 16496618721852, 0, 875, 20, 56, 1, 3, 1, ORDER, 1, 1, 1, 1
39, 16498505351531, 16499378067393, 0, 872, 20, 28, 1, 1, 1, ORDER, 0, 0, 0, 1
39, 16501174351531, 16502012242182, 0, 837, 20, 56, 1, 3, 0, ORDER, 1, 1, 1, 1
39, 16504012351531, 16504646805323, 0, 634, 20, 20, 0, 0, 1, ORDER, 0, 0, 0, 1
39, 16506564351531, 16507278386318, 0, 714, 20, 80, 1, 4, 0, ORDER, 1, 1, 1, 1
39, 16509133351531, 16510036445714, 0, 903, 20, 28, 1, 1, 0, ORDER, 0, 0, 0, 1
39, 16512018351531, 16512920634839, 0, 902, 20, 20, 0, 0, 1, ORDER, 0, 0, 0, 1
39, 16514788351531, 16515555480860, 0, 767, 20, 56, 1, 3, 0, ORDER, 1, 1, 1, 1
39, 16517461351531, 16518315505313, 0, 854, 20, 80, 1, 4, 0, ORDER, 1, 1, 1, 1
39, 16520164351531, 16520952106727, 0, 787, 20, 20, 0, 0, 0, ORDER, 0, 0, 0, 1
39, 16522727351531, 16523584460331, 0, 857, 20, 56, 1, 3, 0, ORDER, 1, 1, 1, 1
39, 16525537351531, 16526346344369, 0, 808, 20, 28, 1, 1, 1, ORDER, 0, 0, 0, 1
39, 16528171351531, 16529228914549, 0, 1057, 20, 80, 1, 4, 1, ORDER, 1, 1, 1, 1
39, 16531182351531, 16532111958329, 0, 929, 20, 56, 1, 3, 0, ORDER, 1, 1, 1, 1
39, 16533949351531, 16534869916349, 0, 920, 20, 28, 1, 1, 1, ORDER, 0, 0, 0, 1
39, 16536775351531, 16537626861888, 0, 851, 20, 20, 0, 0, 0, ORDER, 0, 0, 0, 1
39, 16539534351531, 16540509276164, 0, 974, 20, 80, 1, 4, 1, ORDER, 1, 1, 1, 1
39, 16542314351531, 16543141350216, 0, 826, 20, 56, 1, 3, 0, ORDER, 1, 1, 1, 1
39, 16545065351531, 16545773382027, 0, 708, 20, 28, 1, 1, 1, ORDER, 0, 0, 0, 1
39, 16547573351531, 16548407249104, 0, 833, 20, 20, 0, 0, 1, ORDER, 0, 0, 0, 1
39, 16550398351531, 16551166896725, 0, 768, 20, 80, 1, 4, 0, ORDER, 1, 1, 1, 1
39, 16553168351531, 16553926648026, 0, 758, 20, 56, 1, 3, 0, ORDER, 1, 1, 1, 1
39, 16555830351531, 16556564490017, 0, 734, 20, 28, 1, 1, 1, ORDER, 0, 0, 0, 1
39, 16558383351531, 16559195943780, 0, 812, 20, 20, 0, 0, 0, ORDER, 0, 0, 0, 1
39, 16561162351531, 16561955518441, 0, 793, 20, 80, 1, 4, 0, ORDER, 1, 1, 1, 1
