Total Line is 161
空行数据： 10
反应时小于 250ms 的数据：10
错误回答数据：4
使用的数据： 150
使用的数据中，两个标准差过滤后剔除的数据个数为： 6
ACC： 0.975
检测到本实验为 ORDER CHECK_BY
For LEFT_LATE: 1056.3157894736842 ms, SD is 111.29853000805934 ms
For LEFT_EARLY: 966.4285714285714 ms, SD is 61.76221683660188 ms
For RIGHT_LATE: 1034.78 ms, SD is 75.74050489422852 ms
For RIGHT_EARLY: 927.1739130434783 ms, SD is 69.66781712586526 ms



ID, SHOW_TIME, ACTION_TIME, SHOW_TIME_MS, DURATION_TIME_MS,STAND_SIZE, ACTION_SIZE, SIZE_IS_BIG, ACTION_ORDER, STI_IS_LEFT,CHECK_BY, ANSWER, ORDER_IS_LATE, STAND_ANSWER, CORRECT
42, 25182672638232, 25183624029503, 0, 951, 20, 20, 0, 0, 0, ORDER, 0, 0, 0, 1
42, 25185421638232, 0, 0, 0, 20, -1, 0, -1, 1, NONE, 0, 0, 1, 0
42, 25189237638232, 25190265673864, 0, 1028, 20, 80, 1, 4, 1, ORDER, 1, 1, 1, 1
42, 25192143638232, 25193152514894, 0, 1008, 20, 56, 1, 3, 1, ORDER, 1, 1, 1, 1
42, 25194942638232, 25195915005908, 0, 972, 20, 80, 1, 4, 1, ORDER, 1, 1, 1, 1
42, 25197743638232, 25198800325273, 0, 1056, 20, 28, 1, 1, 1, ORDER, 0, 0, 0, 1
42, 25200636638232, 25201560478750, 0, 923, 20, 20, 0, 0, 0, ORDER, 0, 0, 0, 1
42, 25203367638232, 25204320957604, 0, 953, 20, 56, 1, 3, 0, ORDER, 1, 1, 1, 1
42, 25206137638232, 25207081855017, 0, 944, 20, 80, 1, 4, 0, ORDER, 1, 1, 1, 1
42, 25208922638232, 0, 0, 0, 20, -1, 0, -1, 1, NONE, 1, 0, 1, 1
42, 25212708638232, 25213984370680, 0, 1275, 20, 20, 0, 0, 1, ORDER, 0, 0, 0, 1
42, 25215898638232, 25216871137726, 0, 972, 20, 28, 1, 1, 1, ORDER, 0, 0, 0, 1
42, 25218687638232, 0, 0, 0, 20, -1, 0, -1, 1, NONE, 1, 0, 1, 1
42, 25222560638232, 25223650130252, 0, 1089, 20, 80, 1, 4, 1, ORDER, 1, 1, 1, 1
42, 25225523638232, 25226411548370, 0, 887, 20, 20, 0, 0, 1, ORDER, 0, 0, 0, 1
42, 25228171638232, 25229046210071, 0, 874, 20, 28, 1, 1, 1, ORDER, 0, 0, 0, 1
42, 25230840638232, 25231802193050, 0, 961, 20, 80, 1, 4, 0, ORDER, 1, 1, 1, 1
42, 25233754638232, 25234687962464, 0, 933, 20, 20, 0, 0, 0, ORDER, 0, 0, 0, 1
42, 25236450638232, 25237448113637, 0, 997, 20, 28, 1, 1, 1, ORDER, 0, 0, 0, 1
42, 25239455638232, 25240462039020, 0, 1006, 20, 56, 1, 3, 0, ORDER, 1, 1, 1, 1
42, 25242279638232, 25243348179890, 0, 1068, 20, 20, 0, 0, 0, ORDER, 0, 0, 0, 1
42, 25245231638232, 25246361745849, 0, 1130, 20, 56, 1, 3, 1, ORDER, 1, 1, 1, 1
42, 25248196638232, 25249376146880, 0, 1179, 20, 28, 1, 1, 1, ORDER, 0, 0, 0, 1
42, 25251372638232, 25252645345866, 0, 1272, 20, 80, 1, 4, 1, ORDER, 1, 1, 1, 1
42, 25254548638232, 25255536385298, 0, 987, 20, 20, 0, 0, 1, ORDER, 0, 0, 0, 1
42, 25257420638232, 25258421645783, 0, 1001, 20, 28, 1, 1, 0, ORDER, 0, 0, 0, 1
42, 25260244638232, 25261308470685, 0, 1063, 20, 56, 1, 3, 0, ORDER, 1, 1, 1, 1
42, 25263146638232, 25264194718819, 0, 1048, 20, 80, 1, 4, 0, ORDER, 1, 1, 1, 1
42, 25266175638232, 25267079787304, 0, 904, 20, 20, 0, 0, 0, ORDER, 0, 0, 0, 1
42, 25268904638232, 25269839232685, 0, 934, 20, 28, 1, 1, 1, ORDER, 0, 0, 0, 1
42, 25271822638232, 0, 0, 0, 20, -1, 0, -1, 0, NONE, 1, 0, 1, 1
42, 25275632638232, 25276739138938, 0, 1106, 20, 80, 1, 4, 0, ORDER, 1, 1, 1, 1
42, 25278714638232, 25279876042432, 0, 1161, 20, 56, 1, 3, 1, ORDER, 1, 1, 1, 1
42, 25281712638232, 25282885239749, 0, 1172, 20, 80, 1, 4, 0, ORDER, 1, 1, 1, 1
42, 25284782638232, 25285642941513, 0, 860, 20, 20, 0, 0, 1, ORDER, 0, 0, 0, 1
42, 25287626638232, 0, 0, 0, 20, -1, 0, -1, 1, NONE, 0, 0, 1, 0
42, 25291543638232, 25292662737747, 0, 1119, 20, 56, 1, 3, 0, ORDER, 1, 1, 1, 1
42, 25294491638232, 25295422692568, 0, 931, 20, 28, 1, 1, 1, ORDER, 0, 0, 0, 1
42, 25297182638232, 25298432332765, 0, 1249, 20, 80, 1, 4, 1, ORDER, 1, 1, 1, 1
42, 25300342638232, 25301317701026, 0, 975, 20, 20, 0, 0, 0, ORDER, 0, 0, 0, 1
42, 25303217638232, 25304329801896, 0, 1112, 20, 80, 1, 4, 0, ORDER, 1, 1, 1, 1
42, 25306092638232, 25306963972589, 0, 871, 20, 28, 1, 1, 1, ORDER, 0, 0, 0, 1
42, 25308791638232, 25309850891955, 0, 1059, 20, 56, 1, 3, 1, ORDER, 1, 1, 1, 1
42, 25311609638232, 25312737877369, 0, 1128, 20, 20, 0, 0, 0, ORDER, 0, 0, 0, 1
42, 25314615638232, 25315625943104, 0, 1010, 20, 28, 1, 1, 0, ORDER, 0, 0, 0, 1
42, 25317433638232, 25318385620421, 0, 951, 20, 80, 1, 4, 1, ORDER, 1, 1, 1, 1
42, 25320211638232, 25321022406923, 0, 810, 20, 20, 0, 0, 0, ORDER, 0, 0, 0, 1
42, 25322977638232, 25324031932432, 0, 1054, 20, 56, 1, 3, 0, ORDER, 1, 1, 1, 1
42, 25325896638232, 25326790707604, 0, 894, 20, 20, 0, 0, 0, ORDER, 0, 0, 0, 1
42, 25328590638232, 25329679393371, 0, 1088, 20, 80, 1, 4, 0, ORDER, 1, 1, 1, 1
42, 25331487638232, 25332567490850, 0, 1079, 20, 28, 1, 1, 0, ORDER, 0, 0, 0, 1
42, 25334461638232, 25335583756330, 0, 1122, 20, 56, 1, 3, 1, ORDER, 1, 1, 1, 1
42, 25337491638232, 25338593770800, 0, 1102, 20, 20, 0, 0, 1, ORDER, 0, 0, 0, 1
42, 25340365638232, 25341352781236, 0, 987, 20, 28, 1, 1, 1, ORDER, 0, 0, 0, 1
42, 25343343638232, 25344489294074, 0, 1145, 20, 80, 1, 4, 0, ORDER, 1, 1, 1, 1
42, 25346451638232, 25347376155584, 0, 924, 20, 56, 1, 3, 0, ORDER, 1, 1, 1, 1
42, 25349341638232, 25350134314308, 0, 792, 20, 28, 1, 1, 0, ORDER, 0, 0, 0, 1
42, 25352055638232, 25353019276553, 0, 963, 20, 80, 1, 4, 1, ORDER, 1, 1, 1, 1
42, 25354873638232, 25356031629072, 0, 1157, 20, 56, 1, 3, 1, ORDER, 1, 1, 1, 1
42, 25357946638232, 25358917968086, 0, 971, 20, 20, 0, 0, 0, ORDER, 0, 0, 0, 1
42, 25360783638232, 0, 0, 0, 20, -1, 0, -1, 0, NONE, 1, 0, 1, 1
42, 25364594638232, 25365696512100, 0, 1101, 20, 28, 1, 1, 1, ORDER, 0, 0, 0, 1
42, 25367691638232, 25368706889577, 0, 1015, 20, 56, 1, 3, 0, ORDER, 1, 1, 1, 1
42, 25370592638232, 25371594943024, 0, 1002, 20, 20, 0, 0, 0, ORDER, 0, 0, 0, 1
42, 25373509638232, 25374606682678, 0, 1097, 20, 28, 1, 1, 1, ORDER, 0, 0, 0, 1
42, 25376437638232, 25377615874875, 0, 1178, 20, 80, 1, 4, 1, ORDER, 1, 1, 1, 1
42, 25379448638232, 25380626327104, 0, 1177, 20, 56, 1, 3, 0, ORDER, 1, 1, 1, 1
42, 25382603638232, 25383512458246, 0, 908, 20, 20, 0, 0, 1, ORDER, 0, 0, 0, 1
42, 25385344638232, 25386645891914, 0, 1301, 20, 80, 1, 4, 1, ORDER, 1, 1, 1, 1
42, 25388498638232, 25389532835088, 0, 1034, 20, 56, 1, 3, 0, ORDER, 1, 1, 1, 1
42, 25391389638232, 25392291994773, 0, 902, 20, 28, 1, 1, 0, ORDER, 0, 0, 0, 1
42, 25394070638232, 25395054121755, 0, 983, 20, 20, 0, 0, 1, ORDER, 0, 0, 0, 1
42, 25396942638232, 25398066897442, 0, 1124, 20, 80, 1, 4, 1, ORDER, 1, 1, 1, 1
42, 25400015638232, 25400953518568, 0, 937, 20, 28, 1, 1, 0, ORDER, 0, 0, 0, 1
42, 25402714638232, 25403711954028, 0, 997, 20, 20, 0, 0, 1, ORDER, 0, 0, 0, 1
42, 25405506638232, 25406471819761, 0, 965, 20, 56, 1, 3, 0, ORDER, 1, 1, 1, 1
42, 25408281638232, 25409234336631, 0, 952, 20, 20, 0, 0, 1, ORDER, 0, 0, 0, 1
42, 25411231638232, 25412245625725, 0, 1013, 20, 28, 1, 1, 1, ORDER, 0, 0, 0, 1
42, 25414226638232, 25415253740161, 0, 1027, 20, 56, 1, 3, 0, ORDER, 1, 1, 1, 1
42, 25417212638232, 25418260866437, 0, 1048, 20, 80, 1, 4, 1, ORDER, 1, 1, 1, 1
42, 25420175638232, 25421275529869, 0, 1099, 20, 56, 1, 3, 0, ORDER, 1, 1, 1, 1
42, 25443301638232, 25444352549812, 0, 1050, 20, 20, 0, 0, 1, ORDER, 0, 0, 0, 1
42, 25446209638232, 25447110932536, 0, 901, 20, 28, 1, 1, 0, ORDER, 0, 0, 0, 1
42, 25448928638232, 25449873036990, 0, 944, 20, 80, 1, 4, 1, ORDER, 1, 1, 1, 1
42, 25451792638232, 25452760699269, 0, 968, 20, 20, 0, 0, 1, ORDER, 0, 0, 0, 1
42, 25454553638232, 25455521635083, 0, 967, 20, 56, 1, 3, 1, ORDER, 1, 1, 1, 1
42, 25457494638232, 25458407743184, 0, 913, 20, 28, 1, 1, 1, ORDER, 0, 0, 0, 1
42, 25460295638232, 25461418925270, 0, 1123, 20, 80, 1, 4, 1, ORDER, 1, 1, 1, 1
42, 25463238638232, 25464176965210, 0, 938, 20, 20, 0, 0, 0, ORDER, 0, 0, 0, 1
42, 25466098638232, 25467190199905, 0, 1091, 20, 56, 1, 3, 1, ORDER, 1, 1, 1, 1
42, 25469102638232, 25470323958437, 0, 1221, 20, 28, 1, 1, 1, ORDER, 0, 0, 0, 1
42, 25472111638232, 25473210643051, 0, 1099, 20, 80, 1, 4, 0, ORDER, 1, 1, 1, 1
42, 25475151638232, 0, 0, 0, 20, -1, 0, -1, 0, NONE, 1, 0, 1, 1
42, 25478975638232, 25479856407222, 0, 880, 20, 20, 0, 0, 0, ORDER, 0, 0, 0, 1
42, 25481767638232, 25482741047675, 0, 973, 20, 28, 1, 1, 0, ORDER, 0, 0, 0, 1
42, 25484685638232, 25485750518400, 0, 1064, 20, 80, 1, 4, 0, ORDER, 1, 1, 1, 1
42, 25487661638232, 25488634888773, 0, 973, 20, 20, 0, 0, 0, ORDER, 0, 0, 0, 1
42, 25490396638232, 25491395790026, 0, 999, 20, 28, 1, 1, 0, ORDER, 0, 0, 0, 1
42, 25493303638232, 25494282096272, 0, 978, 20, 56, 1, 3, 1, ORDER, 1, 1, 1, 1
42, 25496218638232, 25497293114774, 0, 1074, 20, 80, 1, 4, 0, ORDER, 1, 1, 1, 1
42, 25499289638232, 25500301709466, 0, 1012, 20, 28, 1, 1, 0, ORDER, 0, 0, 0, 1
42, 25502197638232, 25503059423262, 0, 861, 20, 20, 0, 0, 0, ORDER, 0, 0, 0, 1
42, 25504855638232, 25505818703523, 0, 963, 20, 80, 1, 4, 0, ORDER, 1, 1, 1, 1
42, 25507801638232, 25508952717799, 0, 1151, 20, 56, 1, 3, 0, ORDER, 1, 1, 1, 1
42, 25510834638232, 25511963390189, 0, 1128, 20, 80, 1, 4, 0, ORDER, 1, 1, 1, 1
42, 25513923638232, 25514973368306, 0, 1049, 20, 56, 1, 3, 1, ORDER, 1, 1, 1, 1
42, 25516817638232, 25517609265207, 0, 791, 20, 20, 0, 0, 0, ORDER, 0, 0, 0, 1
42, 25519568638232, 25520496665598, 0, 928, 20, 28, 1, 1, 1, ORDER, 0, 0, 0, 1
42, 25522471638232, 25523507469827, 0, 1035, 20, 80, 1, 4, 0, ORDER, 1, 1, 1, 1
42, 25525386638232, 25526267626633, 0, 880, 20, 28, 1, 1, 1, ORDER, 0, 0, 0, 1
42, 25528043638232, 25529026941453, 0, 983, 20, 20, 0, 0, 1, ORDER, 0, 0, 0, 1
42, 25530789638232, 25531659504209, 0, 869, 20, 56, 1, 3, 0, ORDER, 1, 1, 1, 1
42, 25533640638232, 25534543874838, 0, 903, 20, 20, 0, 0, 0, ORDER, 0, 0, 0, 1
42, 25536487638232, 25537678895707, 0, 1191, 20, 80, 1, 4, 1, ORDER, 1, 1, 1, 1
42, 25539476638232, 25540560535838, 0, 1083, 20, 28, 1, 1, 0, ORDER, 0, 0, 0, 1
42, 25542442638232, 25543569859619, 0, 1127, 20, 56, 1, 3, 1, ORDER, 1, 1, 1, 1
42, 25545528638232, 25546578059047, 0, 1049, 20, 28, 1, 1, 0, ORDER, 0, 0, 0, 1
42, 25548395638232, 25549335259819, 0, 939, 20, 20, 0, 0, 1, ORDER, 0, 0, 0, 1
42, 25551213638232, 25552223035506, 0, 1009, 20, 80, 1, 4, 0, ORDER, 1, 1, 1, 1
42, 25554024638232, 25554980417269, 0, 955, 20, 56, 1, 3, 0, ORDER, 1, 1, 1, 1
42, 25556920638232, 25557868044732, 0, 947, 20, 28, 1, 1, 0, ORDER, 0, 0, 0, 1
42, 25559628638232, 25560755436162, 0, 1126, 20, 80, 1, 4, 0, ORDER, 1, 1, 1, 1
42, 25562602638232, 25563640510279, 0, 1037, 20, 20, 0, 0, 0, ORDER, 0, 0, 0, 1
42, 25565491638232, 25566526651917, 0, 1035, 20, 56, 1, 3, 0, ORDER, 1, 1, 1, 1
42, 25568312638232, 25569158718545, 0, 846, 20, 20, 0, 0, 0, ORDER, 0, 0, 0, 1
42, 25571142638232, 25572169692502, 0, 1027, 20, 56, 1, 3, 0, ORDER, 1, 1, 1, 1
42, 25574083638232, 25575052378394, 0, 968, 20, 28, 1, 1, 1, ORDER, 0, 0, 0, 1
42, 25577001638232, 25578186770527, 0, 1185, 20, 80, 1, 4, 0, ORDER, 1, 1, 1, 1
42, 25580191638232, 0, 0, 0, 20, -1, 0, -1, 1, NONE, 0, 0, 1, 0
42, 25584086638232, 25585331364265, 0, 1244, 20, 56, 1, 3, 1, ORDER, 1, 1, 1, 1
42, 25587197638232, 25588216292718, 0, 1018, 20, 28, 1, 1, 0, ORDER, 0, 0, 0, 1
42, 25590177638232, 25591352571316, 0, 1174, 20, 80, 1, 4, 1, ORDER, 1, 1, 1, 1
42, 25593147638232, 25593990346235, 0, 842, 20, 28, 1, 1, 0, ORDER, 0, 0, 0, 1
42, 25595855638232, 25596874642623, 0, 1019, 20, 20, 0, 0, 0, ORDER, 0, 0, 0, 1
42, 25598814638232, 25599885541317, 0, 1070, 20, 56, 1, 3, 1, ORDER, 1, 1, 1, 1
42, 25601876638232, 25602895441610, 0, 1018, 20, 80, 1, 4, 0, ORDER, 1, 1, 1, 1
42, 25604690638232, 25605656692304, 0, 966, 20, 56, 1, 3, 1, ORDER, 1, 1, 1, 1
42, 25607574638232, 0, 0, 0, 20, -1, 0, -1, 1, NONE, 1, 0, 1, 1
42, 25611462638232, 25612429792732, 0, 967, 20, 20, 0, 0, 0, ORDER, 0, 0, 0, 1
42, 25614285638232, 25615314298016, 0, 1028, 20, 28, 1, 1, 1, ORDER, 0, 0, 0, 1
42, 25617275638232, 25618322137764, 0, 1046, 20, 80, 1, 4, 0, ORDER, 1, 1, 1, 1
42, 25620245638232, 25621334472363, 0, 1088, 20, 56, 1, 3, 1, ORDER, 1, 1, 1, 1
42, 25623310638232, 25624219933552, 0, 909, 20, 20, 0, 0, 0, ORDER, 0, 0, 0, 1
42, 25626158638232, 25626978642933, 0, 820, 20, 28, 1, 1, 0, ORDER, 0, 0, 0, 1
42, 25628958638232, 25629990772731, 0, 1032, 20, 56, 1, 3, 0, ORDER, 1, 1, 1, 1
42, 25631955638232, 25632877255873, 0, 921, 20, 80, 1, 4, 1, ORDER, 1, 1, 1, 1
42, 25634661638232, 25635889963975, 0, 1228, 20, 28, 1, 1, 1, ORDER, 0, 0, 0, 1
42, 25637872638232, 25638776582797, 0, 903, 20, 20, 0, 0, 0, ORDER, 0, 0, 0, 1
42, 25640775638232, 25641917283541, 0, 1141, 20, 80, 1, 4, 1, ORDER, 1, 1, 1, 1
42, 25643727638232, 25644806370460, 0, 1078, 20, 56, 1, 3, 1, ORDER, 1, 1, 1, 1
42, 25646600638232, 25647566476066, 0, 965, 20, 20, 0, 0, 1, ORDER, 0, 0, 0, 1
42, 25649489638232, 25650451021542, 0, 961, 20, 28, 1, 1, 1, ORDER, 0, 0, 0, 1
42, 25652343638232, 25653211511916, 0, 867, 20, 20, 0, 0, 0, ORDER, 0, 0, 0, 1
42, 25655181638232, 25656097450289, 0, 915, 20, 56, 1, 3, 1, ORDER, 1, 1, 1, 1
42, 25657954638232, 25658856442038, 0, 901, 20, 28, 1, 1, 1, ORDER, 0, 0, 0, 1
42, 25660861638232, 25661991339003, 0, 1129, 20, 80, 1, 4, 1, ORDER, 1, 1, 1, 1
42, 25663871638232, 0, 0, 0, 20, -1, 0, -1, 1, NONE, 0, 0, 1, 0
