Total Line is 161
空行数据： 16
反应时小于 250ms 的数据：16
错误回答数据：8
使用的数据： 144
使用的数据中，两个标准差过滤后剔除的数据个数为： 7
ACC： 0.95
检测到本实验为 ORDER CHECK_BY
For LEFT_LATE: 879.0392156862745 ms, SD is 88.39229848449777 ms
For LEFT_EARLY: 775.4444444444445 ms, SD is 60.77462920952752 ms
For RIGHT_LATE: 890.7777777777778 ms, SD is 90.99008170429047 ms
For RIGHT_EARLY: 839.5714285714286 ms, SD is 78.41576988739553 ms



ID, SHOW_TIME, ACTION_TIME, SHOW_TIME_MS, DURATION_TIME_MS,STAND_SIZE, ACTION_SIZE, SIZE_IS_BIG, ACTION_ORDER, STI_IS_LEFT,CHECK_BY, ANSWER, ORDER_IS_LATE, STAND_ANSWER, CORRECT
44, 28214977564871, 28215867324860, 0, 889, 20, 80, 1, 4, 1, ORDER, 1, 1, 1, 1
44, 28217669564871, 28218502179329, 0, 832, 20, 20, 0, 0, 1, ORDER, 0, 0, 0, 1
44, 28220260564871, 28221138659654, 0, 878, 20, 56, 1, 3, 0, ORDER, 1, 1, 1, 1
44, 28222916564871, 28223898963916, 0, 982, 20, 28, 1, 1, 1, ORDER, 0, 0, 0, 1
44, 28225773564871, 28226534593297, 0, 761, 20, 80, 1, 4, 0, ORDER, 1, 1, 1, 1
44, 28228494564871, 28229547272216, 0, 1052, 20, 20, 0, 0, 0, ORDER, 0, 0, 0, 1
44, 28231352564871, 28232309453726, 0, 956, 20, 56, 1, 3, 0, ORDER, 1, 1, 1, 1
44, 28234299564871, 28235322913701, 0, 1023, 20, 28, 1, 1, 1, ORDER, 0, 0, 0, 1
44, 28237304564871, 28238333651882, 0, 1029, 20, 80, 1, 4, 1, ORDER, 1, 1, 1, 1
44, 28240203564871, 28240967107823, 0, 763, 20, 56, 1, 3, 0, ORDER, 1, 1, 1, 1
44, 28242836564871, 28243602553908, 0, 765, 20, 20, 0, 0, 1, ORDER, 0, 0, 0, 1
44, 28245389564871, 28246112353849, 0, 722, 20, 28, 1, 1, 1, ORDER, 0, 0, 0, 1
44, 28247999564871, 28248748275071, 0, 748, 20, 80, 1, 4, 0, ORDER, 1, 1, 1, 1
44, 28250637564871, 28251386064069, 0, 748, 20, 28, 1, 1, 1, ORDER, 0, 0, 0, 1
44, 28253328564871, 0, 0, 0, 20, -1, 0, -1, 0, NONE, 0, 0, 1, 0
44, 28257213564871, 28258160256850, 0, 946, 20, 56, 1, 3, 1, ORDER, 1, 1, 1, 1
44, 28260157564871, 28260922250968, 0, 764, 20, 20, 0, 0, 0, ORDER, 0, 0, 0, 1
44, 28262693564871, 28263558618398, 0, 865, 20, 80, 1, 4, 1, ORDER, 1, 1, 1, 1
44, 28265499564871, 0, 0, 0, 20, -1, 0, -1, 0, NONE, 0, 0, 1, 0
44, 28269411564871, 28270461134316, 0, 1049, 20, 56, 1, 3, 0, ORDER, 1, 1, 1, 1
44, 28272405564871, 0, 0, 0, 20, -1, 0, -1, 1, NONE, 1, 0, 1, 1
44, 28276369564871, 28277118480444, 0, 748, 20, 28, 1, 1, 0, ORDER, 0, 0, 0, 1
44, 28279101564871, 0, 0, 0, 20, -1, 0, -1, 0, NONE, 0, 0, 1, 0
44, 28283106564871, 28284018690313, 0, 912, 20, 56, 1, 3, 0, ORDER, 1, 1, 1, 1
44, 28285838564871, 28286528729614, 0, 690, 20, 20, 0, 0, 1, ORDER, 0, 0, 0, 1
44, 28288387564871, 28289290361748, 0, 902, 20, 80, 1, 4, 0, ORDER, 1, 1, 1, 1
44, 28291095564871, 28292049715993, 0, 954, 20, 28, 1, 1, 0, ORDER, 0, 0, 0, 1
44, 28293959564871, 28294809279902, 0, 849, 20, 56, 1, 3, 0, ORDER, 1, 1, 1, 1
44, 28296570564871, 28297443556323, 0, 872, 20, 28, 1, 1, 0, ORDER, 0, 0, 0, 1
44, 28299333564871, 28300203419496, 0, 869, 20, 80, 1, 4, 0, ORDER, 1, 1, 1, 1
44, 28302196564871, 28302966255086, 0, 769, 20, 56, 1, 3, 0, ORDER, 1, 1, 1, 1
44, 28304802564871, 28305598325810, 0, 795, 20, 20, 0, 0, 1, ORDER, 0, 0, 0, 1
44, 28307520564871, 28308358386615, 0, 837, 20, 80, 1, 4, 0, ORDER, 1, 1, 1, 1
44, 28310210564871, 28311119767869, 0, 909, 20, 28, 1, 1, 0, ORDER, 0, 0, 0, 1
44, 28312958564871, 28314130820418, 0, 1172, 20, 56, 1, 3, 0, ORDER, 1, 1, 1, 1
44, 28315889564871, 28316764934535, 0, 875, 20, 20, 0, 0, 0, ORDER, 0, 0, 0, 1
