21:05:16.549 [main] INFO  com.mazhangjing.zsw.data.DataCollect - [MAIN] Parse Data now...
21:05:17.100 [main] INFO  com.mazhangjing.zsw.data.DataCollect - [MAIN] Marge Log with Data now...
21:05:17.103 [main] INFO  com.mazhangjing.zsw.data.DataCollect - Align Data With Log Time now... (This will take a bit long time...)
21:05:55.463 [main] INFO  com.mazhangjing.zsw.data.DataCollect - [MAIN] Compute Area now...
21:05:55.465 [main] INFO  com.mazhangjing.zsw.data.DataCollect - Find Data, Compute Area Between Move And Click now...
21:05:55.529 [main] WARN  com.mazhangjing.zsw.data.DataCollect - 传入的数量不足，不能够等比分成 100 分，因此，按照原样输出，结果约等于 100, 传入数量为：99
21:05:55.603 [main] WARN  com.mazhangjing.zsw.data.DataCollect - 传入的数量不足，不能够等比分成 100 分，因此，按照原样输出，结果约等于 100, 传入数量为：123
21:05:55.649 [main] WARN  com.mazhangjing.zsw.data.DataCollect - 传入的数量不足，不能够等比分成 100 分，因此，按照原样输出，结果约等于 100, 传入数量为：101
21:05:55.715 [main] WARN  com.mazhangjing.zsw.data.DataCollect - 传入的数量不足，不能够等比分成 100 分，因此，按照原样输出，结果约等于 100, 传入数量为：101
21:05:56.019 [main] WARN  com.mazhangjing.zsw.data.DataCollect - 传入的数量不足，不能够等比分成 100 分，因此，按照原样输出，结果约等于 100, 传入数量为：113
21:05:56.071 [main] WARN  com.mazhangjing.zsw.data.DataCollect - 传入的数量不足，不能够等比分成 100 分，因此，按照原样输出，结果约等于 100, 传入数量为：104
21:05:56.341 [main] WARN  com.mazhangjing.zsw.data.DataCollect - 传入的数量不足，不能够等比分成 100 分，因此，按照原样输出，结果约等于 100, 传入数量为：106
21:05:56.426 [main] WARN  com.mazhangjing.zsw.data.DataCollect - 传入的数量不足，不能够等比分成 100 分，因此，按照原样输出，结果约等于 100, 传入数量为：103
21:05:56.610 [main] WARN  com.mazhangjing.zsw.data.DataCollect - 传入的数量不足，不能够等比分成 100 分，因此，按照原样输出，结果约等于 100, 传入数量为：127
21:05:56.629 [main] WARN  com.mazhangjing.zsw.data.DataCollect - 传入的数量不足，不能够等比分成 100 分，因此，按照原样输出，结果约等于 100, 传入数量为：102
21:05:56.668 [main] WARN  com.mazhangjing.zsw.data.DataCollect - 传入的数量不足，不能够等比分成 100 分，因此，按照原样输出，结果约等于 100, 传入数量为：106
21:05:56.688 [main] WARN  com.mazhangjing.zsw.data.DataCollect - 传入的数量不足，不能够等比分成 100 分，因此，按照原样输出，结果约等于 100, 传入数量为：107
21:05:56.709 [main] WARN  com.mazhangjing.zsw.data.DataCollect - 传入的数量不足，不能够等比分成 100 分，因此，按照原样输出，结果约等于 100, 传入数量为：129
21:05:56.729 [main] WARN  com.mazhangjing.zsw.data.DataCollect - 传入的数量不足，不能够等比分成 100 分，因此，按照原样输出，结果约等于 100, 传入数量为：106
21:05:56.768 [main] WARN  com.mazhangjing.zsw.data.DataCollect - 传入的数量不足，不能够等比分成 100 分，因此，按照原样输出，结果约等于 100, 传入数量为：101
21:05:56.835 [main] WARN  com.mazhangjing.zsw.data.DataCollect - 传入的数量不足，不能够等比分成 100 分，因此，按照原样输出，结果约等于 100, 传入数量为：105
