GROUP, ID, MIN, MAX, ACC, MEAN, STD, SIZE10DRT_MEAN, SIZE10DRT_STD, SIZE14DRT_MEAN, SIZE14DRT_STD, SIZE28DRT_MEAN, SIZE28DRT_STD, SIZE40DRT_MEAN, SIZE40DRT_STD, ORDER0DRT_MEAN, ORDER0DRT_STD, ORDER1DRT_MEAN, ORDER1DRT_STD, ORDER3DRT_MEAN, ORDER3DRT_STD, ORDER4DRT_MEAN, ORDER4DRT_STD
-1, 44, 635.0, 1072.0, 0.95, 866.021897810219, 92.80723754368233, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 64.1269841269841, 14.280953644920316, 49.535714285714334, -0.9033530412060315, -13.066666666666606, 48.66919283658393, -12.719696969696997, -42.02193015609433
-1, 32, 717.0, 1186.0, 0.99375, 944.1721854304636, 104.53935537008083, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 19.894736842105317, -30.575163403807153, -31.065789473684163, -24.635649255039127, 51.21052631578948, -20.532435462322624, 38.71666666666658, -11.979898656199566
-1, 40, 621.0, 958.0, 0.9875, 772.9655172413793, 75.02012820580438, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 13.769230769230717, 7.1164318974489476, -78.40460526315792, 19.082324877448727, -28.25524475524469, 25.940305215638006, 22.08823529411768, -20.43144600122217
-1, 33, 797.0, 1379.0, 0.91875, 1058.5076923076922, 127.76487890439599, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -24.175213675213627, -48.319612872083, 43.91111111111104, -42.44192613375063, -59.9970588235293, -38.51441699019844, 23.870192307692264, 57.03546377354286
-1, 39, 634.0, 1060.0, 0.98125, 852.1103448275862, 84.01604651967939, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -30.56547619047626, -55.03755553303337, -38.935897435897346, 0.42344682759683394, -40.35294117647061, 3.943851377976003, -44.637500000000045, -47.562748349967606
-1, 43, 669.0, 1066.0, 1.0, 866.1730769230769, 98.06463723954253, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.888888888888914, 31.516631245180932, 3.927170868347389, -17.66417504169729, 76.63043478260875, -10.439392204552519, -52.707894736842036, 36.18136181362374
-1, 29, 750.0, 1101.0, 1.0, 908.258064516129, 74.21273726829482, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 36.25935828877016, -36.983942354694264, 41.30158730158735, -10.336568183113016, -17.87433155080214, 41.84269159961814, 19.936842105263167, 10.938983986779093
-1, 45, 691.0, 1139.0, 0.9625, 882.2344827586207, 96.36310193114949, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 25.262500000000045, 23.989375514208476, 35.40606060606058, -41.397242659781284, -6.123809523809541, -61.924048941953956, -51.73333333333335, 14.481856355437088
-1, 38, 686.0, 1146.0, 0.96875, 877.1338028169014, 94.5476148476485, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 13.888235294117635, 22.472949448077898, 27.013157894736878, -17.814100935245108, -27.576470588235225, 23.697536062873574, 16.9375, 12.474637576959182
-1, 35, 698.0, 1123.0, 1.0, 922.4761904761905, 92.03322310584988, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 63.322222222222194, -17.036943737406204, 35.5205882352941, -44.34727490119859, 96.40909090909088, -19.90109463940159, 6.9859943977591, -12.593315646552398
